capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:12.058306+00:00,1771769892058.293,2026-02-22T14:18:13.458468Z,1771769893458.468,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1400.175,8.756,1907.836
2026-02-22T14:18:12.058759+00:00,1771769892058.742,2026-02-22T14:18:13.460514Z,1771769893460.514,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.772,7.159,1908.285
2026-02-22T14:18:12.060284+00:00,1771769892060.267,2026-02-22T14:18:13.462337Z,1771769893462.337,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.070,6.861,1909.810
2026-02-22T14:18:12.060530+00:00,1771769892060.522,2026-02-22T14:18:13.462484Z,1771769893462.484,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.962,6.968,1910.065
2026-02-22T14:18:12.061692+00:00,1771769892061.685,2026-02-22T14:18:13.462484Z,1771769893462.484,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1400.799,8.132,1911.228
2026-02-22T14:18:12.061874+00:00,1771769892061.868,2026-02-22T14:18:13.464078Z,1771769893464.078,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1402.209,6.721,1911.411
2026-02-22T14:18:12.063764+00:00,1771769892063.752,2026-02-22T14:18:13.465405Z,1771769893465.405,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1401.653,7.278,1913.295
2026-02-22T14:18:12.063795+00:00,1771769892063.785,2026-02-22T14:18:13.465619Z,1771769893465.619,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.834,7.096,1913.328
2026-02-22T14:18:12.064989+00:00,1771769892064.972,2026-02-22T14:18:13.465405Z,1771769893465.405,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1400.433,8.498,1914.515
2026-02-22T14:18:12.065562+00:00,1771769892065.525,2026-02-22T14:18:13.467357Z,1771769893467.357,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.832,7.098,1915.068
2026-02-22T14:18:12.066725+00:00,1771769892066.708,2026-02-22T14:18:13.468767Z,1771769893468.767,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1402.058,6.872,1916.251
2026-02-22T14:18:12.067610+00:00,1771769892067.594,2026-02-22T14:18:13.469718Z,1771769893469.718,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1402.124,6.806,1917.137
2026-02-22T14:18:12.068752+00:00,1771769892068.744,2026-02-22T14:18:13.468767Z,1771769893468.767,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1400.023,8.908,1918.287
2026-02-22T14:18:12.068823+00:00,1771769892068.816,2026-02-22T14:18:13.471299Z,1771769893471.299,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1402.483,6.448,1918.359
2026-02-22T14:18:12.070778+00:00,1771769892070.766,2026-02-22T14:18:13.472688Z,1771769893472.688,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1401.922,7.008,1920.309
